movieName,sumBoxDesc
哪吒之魔童闹海,152.14亿
唐探1900,35.79亿
向阳·花,1.65亿
封神第二部：战火西岐,12.26亿
孤独的美食家 剧场版,96.2万
我的世界大电影,1.53亿
不说话的爱,1.15亿
射雕英雄传：侠之大者,6.80亿
猎狐·行动,5412.6万
熊出没·重启未来,8.09亿
速度与激情7,24.36亿
蛟龙行动,3.90亿
火之鸟 伊甸之花,12.7万
黎明的一切,40.0万
制暴：无限杀机,4284.6万
热烈,9.30亿
此心安处,387.0万
触碰你,9.5万
谍网追凶,436.1万
机动战士高达：跨时之战,1872.1万
不完美逃脱,128.5万
倩女幽魂,2276.0万
荒蛮故事,179.1万
打铁花行动,182.3万
乐一通大电影：地球爆炸之日,4.9万
猫猫的奇幻漂流,2742.3万
援藏日记,196.2万
还有明天,4417.7万
浴血困牛山,72.0万
阳光照耀青春里,572.1万
伟大征程,1034.2万
大突围,1291.4万
单声,224.0万
怒水西流,4831.8万
命中罪爱,113.7万
特别的你,63.5万
破·地狱：感恩特别版,101.0万
小小得月楼,1.2万
边海,74.5万
东四十条,50.8万
白雪公主,929.9万
疾速追杀4,4481.3万
攀枝花红了,6.5万
我会好好的,2486.8万
天堂旅行团,6594.4万
夜半凶宅,352.3万
海绵宝宝：皮老板大电影,1225.0万
诡才之道,4030.6万
盛世如愿,3.9万
潮,105.0万
谯国夫人,1507.3万
穿越时空的呼唤,681
有病才会喜欢你,6.0万
新龙门客栈（舞台纪录电影·越剧）,620.3万
你的颜色,1732.5万
过春天,1024.6万
金的音像店,181.4万
致命抉择,183.5万
午时三刻,7.4万
极限守护,42.9万
周末狂飙,33.3万
多幸运遇见你,1929.8万
阴阳师0,277.9万
我料青山应如是,78
花样年华,6164.9万
想飞的女孩,1697.2万
追幸福的人,83.9万
